price,area,price_per_m2,bedroom,toilet,location,description
"4,25 tỷ",75 m²,"56,67 tr/m²",2,2,"Quận 2, Hồ Chí Minh","Cập nhật liên tục rỗ hàng Masteri Thảo Điền tất cả các căn hộ với giá tốt nhất thị trường.Hỗ trợ tư vấn và xem nhà miễn phí 24/7.Hotline 0938 799 *** Nguyễn Liêm (Zalo, Viber, Telegram). - Ở đâu giá rẻ, em bao giá rẻ hơn. - Đã có sổ hồng, giấy tờ pháp lý đầy đủ. - Hỗ trợ tư vấn nhiệt tình + tận tâm + lấy uy tín làm đầu + không mua cũng không sao.Bên em cam kết: Giá rẻ hơn thị trường, trả sát giá chủ nhà. Miễn sao khách hàng ưng ý, với mức giá th..."
4 tỷ,80 m²,"49,99 tr/m²",,,"Quận 9, Hồ Chí Minh","Siêu ưu đãi vốn 900 triệu cam kết thuê lại 300 triệu/2 năm liên hệ ngay Hoàng Vinh 0932 778 ***. Thông tin thật, cơ hội đầu tư tốt. Chi tiết căn hộ: - Loại căn: 1,2,3 phòng ngủ, có đầy đủ, kể cả Studio. - Diện tích: Thêm diện tích căn hộ ở đây. - Cao độ căn hộ: 3.45m. - Hướng: Đông Nam, Đông Bắc có hết. - Dự kiến bàn giao: Tháng 09/2024. - Giá ưu đãi chỉ cần 900 triệu. + Thanh toán cho chủ đầu tư.Ưu đãi đặc biệt: - Nhận gói nội thất từ 300 - 400 tr..."
12 tỷ,76 m²,"157,9 tr/m²",,,"Thanh Xuân, Hà Nội","BÁN 2 TÒA NHÀ CHCC MINI PHỐ CHÍNH KINH, THANH XUÂN, HÀ NỘI,  ĐẦY ĐỦ HỆ THỐNG PCCC, CƠ HỘI ĐẦU TƯ SINH LỜI CAO - KHÔNG THỂ BỎ QUA! Căn hộ chung cư mini tọa lạc tại số 145 và 119 phố Chính Kinh, phường Nhân Chính, quận Thanh Xuân, Hà Nội, sẵn sàng chờ đón chủ nhân mới. - TÒA 1:   Tại số 145 phố Chính Kinh  Diện tích: 76m² x 8 tầng, Gồm 14 căn hộ khép kín  Hiện đang cho thuê với giá 6.000.000, VNĐ/phòng/tháng chưa tính dịch vụ, đã full kín phòng thu..."
"3,86 tỷ",91 m²,"42,4 tr/m²",3,2,"Hà Đông, Hà Nội","Quỹ căn hộ cao cấp Grand Sunlake đẹp, tầng đẹp Trung Tâm quận Hà Đông, ký trực tiếp với CĐT: * Vị trí trung tâm Hà Đông: Sát Ga tàu cao tốc, cạnh hồ Văn Quán mát mẻ. - Bán kính 2km không thiếu thứ gì: Trường học từ Mầm Non đến Đại Học, Bệnh viện, Công viên, hồ điều hòa, Bể bơi bốn mùa,... - 5 tầng TTTM + tầng 6 sinh hoạt cộng đồng dành riêng cho cư dân + 3 tầng hầm để xe hơn 700 chỗ, - Các loại diện tích 2 phòng ngủ: 70m², 91m², 92m² thông thủy. ..."
"2,79 tỷ",30 m²,93 tr/m²,3,3,"Hai Bà Trưng, Hà Nội","Không gồng nổi, bán gấp phố Hồng Mai, nhà 3 tầng, ô tô đỗ cửa, vị trí đắc địa, giá cắt lỗ 2.79 tỷ. Nhà 3 tầng, hướng Bắc, diện tích 30m², mặt tiền 3.5m, giá 2.79 tỷ (có thương lượng), ô tô đỗ cửa. Địa chỉ: Số 20, ngách 26, ngõ 107, Hồng Mai, Quỳnh Lôi, Hai Bà Trưng, Hà Nội. Googlemap: https://maps.app.goo.gl/w3hNcouePycRCrKTA Video Youtube: https://youtu.be/zbhh6k7BiVIĐánh giá của chúng tôi. Mua để làm nhà ở: 5 sao. Mua để làm văn phòng: 3 sao. M..."
3 tỷ,60 m²,50 tr/m²,2,1,"Bình Tân, Hồ Chí Minh","Mở bán block AK NEO đẹp nhất dự án Akari City, giá từ 3 tỷ căn 2PN, chiết khấu lên đến 9%.Giỏ hàng giá gốc Chủ Đầu Tư, nhiều vị trí đẹp, thiết kế hiện đại tinh tế, tặng nội thất cao cấp. - Đa dạng diện tích: 60 - 63m² (2PN - 1WC), 79 - 87m² (2PN, 2WC), 93 - 97m² (3PN, 2WC). - Tất cả căn hộ đều có ban công đón nắng và gió tự nhiên. - Thanh toán theo tiến độ, đặc biệt chỉ thanh toán 30% đến lúc nhận nhà. - Mỗi đợt chỉ thanh toán 5%, cách mỗi 2 - 3 ..."
Giá thỏa thuận,156 m²,,5,5,"Văn Giang, Hưng Yên",Hiện tại bên em đang có quỹ căn ở mọi vị trí đẹp sẽ phù hợp đến khách hàng quan tâm đến Grand World Hà Nội!Giá tốt nhất tại Mega Grand World Hà Nội vẫn còn nhé. Dành cho khách VIP nhanh tay lựa chọn! Giá từ 10 - 30 tỷ/căn. 1. Quỹ căn Góc trung tâm diện tích xây 100m²/sàn - chiều cao 5 tầng và đã có khách thuê 80 triệu/tháng. 2. Quỹ căn sẻ khe thoáng bên cạnh góc xây 112m²/sàn đang cho thuê 80 triệu/tháng. 3. Quỹ căn mặt sông Vencie diện tích 80m²...
15 tỷ,78 m²,"192,31 tr/m²",5,5,"Văn Giang, Hưng Yên","Hiện tại Em đang có quỹ căn đẹp giá rất tốt tại tổ hợp thương mại Mega Grand World Hà Nội! 1. Shophouse Phố Tây mặt sông Venice trung tâm có tổng diện tích xây dựng 394m² cho thuê 70 triệu/tháng. Giá bán ck tối đa: 15 tỷ tts (Giá tốt nhất thị trường). 2. Shophouse căn góc ngay quảng trường piaza và trục đường phố biển 30m. Tổng diện tích xây dựng 317,6m² cho thuê 75 triệu/tháng. Giá bán ck tối đa: 18.3 tỷ tts (Căn góc Giá Tốt). 3. Hàm cá mập siêu..."
"23,6 tỷ","92,8 m²","254,31 tr/m²",5,5,"Văn Giang, Hưng Yên","Tôi chính chủ bán lại căn shophouse mặt quảng trường dự án Mega Grandworld Hà Nội! Chỉ duy nhất 2/20 căn mặt quảng trường piaza nơi đón hàng nghìn lượt khách mỗi ngày - địa điểm checkin mà ai cũng phải đến. VIP nhất Tổ hợp Mega Grandworld HN. Diện tích xây dựng T1: 92,8m². Diện tích tổng xây dựng: 476m². Mặt tiền: 6m cao 5 tầng. Đang cho thuê: 90 triệu/tháng. Giá gốc: 23,6 tỷ (+ + ) - giá bán. Chính sách riêng cho căn shophouse này: 1. Tặng xe ô ..."
"8,3 tỷ",80 m²,"103,75 tr/m²",,,"Văn Giang, Hưng Yên","Cơ hội cuối năm sở hữu nhà ở Vinhomes giá tốt - tháng 12/2023! Quỹ căn Liền kề, Biệt thự, Shophouse bán Cắt lỗ tại Vinhomes Ocean Park 2 tháng 12/2023.- Quỹ Shophouse kinh doanh trục chính đường lớn: Shophouse 70m² đường 20m, tiềm năng kinh doanh tốt bán 7.8 tỷ (bao phí). Shophouse 80m² đường 20m, tiềm năng kinh doanh tốt bán 8,3 tỷ (bao phí). Shophouse 80m đường lớn 30m (Đường Đại Dương) giá từ 11,5 tỷ (bao phí). Shophouse 109m, 2 mặt đường: Đườ..."
6 tỷ,110 m²,"54,54 tr/m²",2,2,"Thanh Xuân, Hà Nội","Minh Tuấn chuyên mua bán, cho thuê chung cư Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hà Nội. Để được tư vấn nhanh chính xác nhất quý khách hàng gọi ngay. Hotline: 0961 599 *** - Giá cam kết rẻ nhất thị trường. - Tư vấn nhiệt tình chính xác nhất. - Văn phòng ngay tại Royal nên xem nhà bất kể khi nào 24/7. - Ký hợp đồng trực tiếp với chủ nhà. - Khách mua được xem trực tiếp căn hộ, làm việc chính chủ. - Hỗ trợ tư vấn về pháp lý và thủ tục sang tên sổ..."
"1,74 tỷ",56 m²,31 tr/m²,,,"Hoài Đức, Hà Nội","+ Bán 56m² đất thổ cư SĐCC tại xã Song Phương, Hoài Đức, Hà Nội. + Đất ngõ rộng 2,6m có hai mặt ngõ trước và sau rất đẹp. + Cách trục đường chính hai ô tô tránh nhau 100m. + Chiều rộng mặt tiền 5,13m. + Hậu rộng 5,13 m. + Chiều sâu 11,02 m và 10,74m. + Đất trong khu dân cư văn minh và phát triển. + Gần chợ, gần trường mầm non, trường cấp 1,2,3. + Gần trung tâm hành chính xã có rất nhiều tiện ích. + Cách Đại Lộ Thăng Long 1 km, cách trung tâm Hà N..."
"2,4 tỷ",85 m²,"28,24 tr/m²",2,2,"Dĩ An, Bình Dương","Thông tin mô tả. Kẹt tiền cần bán gấp Opal Boulevard không chênh - Phạm Văn Đồng. - Vị trí: Mặt tiền đường Phạm Văn Đồng, P. Bình An, TX. Dĩ An, T. Bình Dương. Cách cầu vượt Linh Xuân 200m. - Chủ đầu tư uy tín: Hà An (Đất Xanh Group). - Diện tích đa dạng - giá bán trực tiếp từ chủ đầu tư.* Block B.- Căn 71m², 73m², 75m², 87m² (2PN, 2WC). + Ban công Đông Bắc, Tây Nam. + Giá bán từ 2,2 tỷ - 2,350 tỷ/căn. + Thanh toán 45% - 70% (990 triệu - 1,5 tỷ)...."
"3,2 tỷ",78 m²,"41,03 tr/m²",2,,"Long Biên, Hà Nội","PKD CĐT dự án Khai Sơn City xin thông báo tới quý khách hàng hiện nay có rất nhiều tin đăng giả mạo ngoại giao và báo giá không đúng với giá niêm yết của CĐT nhằm lấy thông tin cá nhân của khách hàng, vì vậy để đảm bảo có thông tin chính xác về giá bán cũng như chính sách trực tiếp CĐT, Qúy KH vui lòng liên hệ Hotline: 0911 411 *** / 0978 234 *** để được hỗ trợ thông tin chính xác vấn đề.Phòng kinh doanh CĐT gửi tới Khách hàng thông tin chi tiết kèm..."
"3,7 tỷ",59 m²,"62,71 tr/m²",2,1,"Nam Từ Liêm, Hà Nội","Miễn phí dịch vụ 3 năm. Quỹ căn giá tốt cuối cùng Masteri West Heights - miễn gốc lãi từ 18 - 24 tháng tùy từng tòa.Toà 2 hầm để xe Vinhomes Smart. Vay tới 80% giá trị căn hộ - miễn gốc lãi từ 18 - 24 tháng tùy từng tòa. Có 4 loại hình TK cho anh/ chị lựa chọn: Có 4 loại hình TK cho anh/ chị lựa chọn: * Căn hộ Studio: - Diện tích từ 28m - 33m.* Căn 1PN + 1: - Diện tích từ 43m - 47m. - Thiết kế gồm 1PN + 1 không gian đa năng, WC, bếp, phòng khách,..."
"1,7 tỷ",35 m²,"48,57 tr/m²",1,1,"Bình Tân, Hồ Chí Minh","The Privia chính thức nhận booking giai đoạn 2 với giỏ hàng 100 căn đẹp nhất. Đặc biệt: Giai đoạn 2 có sự xuất hiện của loại hình căn hộ Studio hàng hiếm, mỗi tầng chỉ có 2 căn tại block A, tỉ suất sinh lời và cho thuê cực cao đối với loại hình Studio này.Căn hộ cao cấp The Privia - Khang Điền. - Chỉ cần thanh toán trước 20% là nhận nhà vào ở. - Một năm sau khi nhận nhà mới thanh toán tiếp, Ngân hàng hỗ trợ vay, không trả gốc và lãi trong vòng 24..."
"9,9 tỷ","121,7 m²","81,35 tr/m²",,,"Bình Thạnh, Hồ Chí Minh","Kẹt tiền Nên giảm 1 tỷ; cần bán căn nhà hẻm xe hơi Điện Biên Phủ, Phường 25, Quận Bình Thạnh. Hẻm xe hơi Điện Biên Phủ, thông ra hẻm 36 đường D2, vị trí quá đẹp, thuận tiện xây dựng căn hộ dịch vụ, phòng trọ cho SV, Dân văn phòng thuê. Trong bân kính 1 - 2km có tới 7 trường Đại học: ĐHNT, ĐH GTVT, ĐH Hutech, Hồng Bàng. Nhà 1 sẹc hẻm xe hơi, cách MT Điện Biên Phủ chỉ 20 - 30m. Nhà thuận tiện xây dựng, khu vực đc xây 1 trệt 3 lầu, sân thượng. Đang ..."
29 tỷ,153 m²,"189,54 tr/m²",,,"Gia Lâm, Hà Nội","Chính chủ cần bán nhanh đơn lập mini, là căn song lập lẻ cặp đúng 1 mình không chung tường với nhà khác. 4 mặt thoáng đặc quyền như biệt thự đơn lập. Số lượng căn cực kỳ giới hạn cả đảo Ngọc Trai chỉ có duy nhất 8 căn. Căn áp căn góc ngay cạnh vườn hoa, vị trí trung tâm cực kỳ thoáng 2 bước chân ra tới vườn hoa bể bơi. Diện tích: 153m². Xây: 77m²/ sàn. Mặt tiền: 8,5m. Xây 3,5 tầng tổng 255m² sử dụng. Sổ đỏ cầm tay sẵn sàng giao dịch ngay giá 29, ..."
"3,9 tỷ","93,5 m²","41,71 tr/m²",,,"Thủ Đức, Hồ Chí Minh","- Kẹt tiền cần bán gấp thửa đất nở hậu có diện tích 93,5m²; hẻm 3m đường Trần Thị Điệu, P. Phước Long B, TP Thủ Đức; vị trí cách 1km đến trường Cao đẳng Công Thương. - Khu vực cực kỳ sầm uất; phù hợp xây dựng phòng trọ cho sinh viên, CHDV; - Đây là khu vực đông đúc và xôm tụ nhất của Q9 cũ (nay là TP Thủ Đức); gần các trường Đh Lớn, Cao đẳng công thương; thích hợp xây CHDV, Phòng trọ. - Giá bán này do kẹt tiền nên bán gấp trong tháng. Qua năm bán..."
"3,7 tỷ",59 m²,"62,71 tr/m²",2,1,"Nam Từ Liêm, Hà Nội","Quỹ căn giá tốt cuối cùng Masteri West Heights - miễn gốc lãi từ 18 - 24 tháng tùy từng tòa.Toà 2 hầm để xe Vinhomes Smart. 1: Thông tin căn hộ. Diện tích tim tường 54 m². Diện tích thông thuỷ 59m². - Thanh toán sớm: 3,7tỷ.Vay tới 80% giá trị căn hộ - miễn gốc lãi từ 18 - 24 tháng tùy từng tòa. Có 4 loại hình TK cho anh/ chị lựa chọn: Có 4 loại hình TK cho anh/ chị lựa chọn: * Căn hộ Studio: - Diện tích từ 28m - 33m.* Căn 1PN + 1: - Diện tích từ ..."
"4,3 tỷ",70 m²,"61,43 tr/m²",2,2,"Quận 2, Hồ Chí Minh","Hỗ trợ xem nhà miễn phí 24/7. * Liên hệ ngay để được hướng dẫn chọn căn nhà vừa ý nhất: 0903 037 *** em Hiền 24/7. * Ở đâu giá rẻ, em có giá rẻ hơn. * Cam kết: Giá rẻ hơn thị trường, trả sát giá chủ nhà. Miễn sao khách hàng ưng ý, tôi sẽ đưa mức giá thấp nhất.Hỗ trợ vay ngân hàng lên đến 80% giá trị căn hộ. Vị trí nhà nào cũng có, đảm bảo giá thấp nhất thị trường. Chìa khóa có sẵn do khách gửi, hỗ trợ xem nhà 24/7 miễn phí. Đặc biệt: Hỗ trợ hồ sơ..."
13 tỷ,207 m²,"62,8 tr/m²",,,"Thủ Đức, Hồ Chí Minh","Kẹt tiền cần bán gấp lô đất vuông vức 207m² (ngang 10 x 20,7m) tại vị trí số 7 đường số 5 KDC Sông Đà (KDC Bình Dân), P. Hiệp Bình Chánh, TP Thủ Đức. - Vị trí yên tĩnh, an ninh, phù hợp xây dựng biệt thự để ở và nghỉ dưỡng. - Đường rộng 8m, 2 bên có vỉa hè mỗi bên 1m, lòng đường 6m, 2 - 3 xe ô tô đi ngược chiều vẫn lưu thông bình thường. - Khu vực cao ráo, không ngập nước, an ninh yên tĩnh, phù hợp xây BT nghỉ dưỡng."
"2,5 tỷ",52 m²,48 tr/m²,2,1,"Bình Tân, Hồ Chí Minh","* Đã Có giỏ hàng - A/chị cần căn liên hệ để được ưu tiên chọn căn đẹp cho ngày mở bán.* Mở bán 100 căn hộ đẹp nhất Tháp A, The Privia Khang Điền ngay Bến Xe Miền Tây, Cách Aeon Mall Bình Tân Chỉ 5p. - Chỉ cần thanh toán trước (20%) là nhận nhà vào ở. Một năm sau khi nhận nhà mới thanh toán tiếp, hỗ trợ gốc lãi đến 24 tháng. - Chiết khấu ngay 10% cho KH không nhận hỗ trợ lãi suất (nhận bằng tiền mặt). + 1% cho khách hàng thân thiết. - Tặng bếp + m..."
10 tỷ,95 m²,"105,26 tr/m²",2,2,"Quận 1, Hồ Chí Minh","Capitaland công bố chính sách bán hàng khủng áp dụng duy nhất tới 29/12/2023: Chiết khấu trực tiếp vào giá bán 40%: Giỏ hàng 2PN - 3PN - duplex căn hộ Zenity Quận 1: + Căn 2PN: 94.5m²: Từ 10 tỷ. + Căn 3PN: 108 - 116m² - Giá total (full VAT + phí bảo trì + Nội thất): Từ 11 tỷ. + Duplex: 161m².- Tặng gói full nội thất từ A - Z cao cấp 500 triệu - 1 tỷ. (Bao gồm: Tivi, tủ lạnh, máy lạnh, máy giặt, bếp, lò vi sóng, tranh treo tường, sofa, giường đệm ..."
"4,65 tỷ",85 m²,"54,71 tr/m²",2,2,"Bình Thạnh, Hồ Chí Minh","Danh sách các căn hộ đang rao bán tại Vinhomes Central Park.* Căn 1 phòng ngủ. - DT 53,3m² - block C2 - NT cơ bản. Giá 3,65 tỷ. - DT 53,7m² - block L4 - Full NT. Giá 3,2 tỷ. - DT 54,3m² - block P7 - Full NT. Giá 3,5 tỷ. LH 0901 692 **** Căn 2 phòng ngủ. - DT 91m² - Block P3 - Full NT. Giá 7,15 tỷ. - DT 79m² - Block P4 - Full NT. Giá 6,45 tỷ. - DT 83m² - Block P7 - NT cơ bản. Giá 4,65 tỷ. - DT 89m² - Block P2 - full nội thất. Giá 6,3 tỷ. - DT 84m² -..."
"3,3 tỷ",90 m²,"36,67 tr/m²",2,2,"Long Biên, Hà Nội","Trực tiếp CĐT Khai Sơn City - duy nhất 3 suất cuối cùng Ck 13,5% + Viên Kim Cương và điều hòa 350 triệu + xe SH. Chỉ 10% Ký HĐMB, hỗ trợ lãi suất dài hạn, ra mắt tầng 8 - 9 - 18 - 19 tòa K3 đẹp nhất dự án Ban công Đông Nam View hồ điều hòa 22 hecta. Hotline TPKD: 0973 668 *** cam kết giá tốt nhất.Hỗ trợ vay 70% với miễn lãi và dài hạn. Chiết khấu căn 2PN từ 3,9 tỷ trừ trực tiếp vào giá bán chỉ còn 3 tỷ. Căn càng lớn CK càng cao. Chung cư cao cấp Kh..."
"5,62 tỷ","140,6 m²","39,97 tr/m²",,,"Thủ Đức, Hồ Chí Minh","Địa chỉ đối diện: 283/3A Linh Đông, P. Linh Đông, TP. Thủ Đức. + Tổng Diện tích: 140,6m². Hướng Tây Bắc, sổ hồng 2019 (2 Lô liền kề Có 2 Sổ riêng). Thửa đất 988: 54,6m². 100% thổ cư. Thửa đất 990: 71m² thổ cư + 15m² đất cây lâu năm. + Đường trước nhà 5m. Thuộc dự án mở rộng Đường 13m = Đất sẽ có mặt tiền hơn 11 ngang. + Khu dân cư hiện hữu, tiện thiết kế xây mới, phù hợp các gia đình trẻ năng động. + Vị trí khu vực trung tâm TP Thủ Đức. Sát trục ..."
"4,6 tỷ",85 m²,"54,12 tr/m²",2,2,"Bình Thạnh, Hồ Chí Minh","Sắp đến tết chính chủ cần bán những căn giá tốt nhất giá ngộp cần bán nhanh, mua đầu tư sinh lời hay để ở tận hưởng hệ sinh thái của Vinhomes bậc nhất Sài Gòn tận tâm và chuyên nghiệp, hãy liên hệ mua hoặc thuê nhà một cách tự tin. Điện thoại: 0909 638 ***Giá Bán & diện tích căn hộ: - 1 phòng ngủ: - diện tích (36m, 50m, 52m, 55m, 56m). - Căn hộ Studio 36m: 3tỷ3 - 3tỷ3. Loại Officetel (OT) có thể ở hoặc làm văn phòng giá từ: 3 tỷ - 3,65 tỷ. Loại sở..."
"10,44 tỷ",95 m²,"109,9 tr/m²",2,2,"Quận 1, Hồ Chí Minh","Căn hộ Zenity - mặt tiền đại lộ Võ Văn Kiệt.CDT chiết khấu *cực khủng* 40% giá trị căn hộ.- 2 PN/ Diện tích 95m² - Giá 15,5 - 17 tỷ - chiết khấu 40% còn 10,4 tỷ - 12 tỷ giá bao gồm tất cả. - 3 PN/ diện tích 117m² - giá 17,7 - 19 tỷ - chiết khấu 40% còn 12 tỷ - 13 tỷ giá bao gồm tất cả.View nhìn toàn cảnh CBD. Q1 & Bitexco. - Nhận nhà trong tháng 12/ bàn giao full nội thất. Sổ hồng sau 6 tháng.- Hỗ trợ cho thuê căn hộ của a/chị. + Căn 2PN - Giá 35..."
3 tỷ,100 m²,30 tr/m²,,,"Văn Giang, Hưng Yên","+ Căn vip Đại lộ San Hô đối diện trung tâm thương mại Vincom lớn nhất Miền Bắc. + Diện tích sử dụng lên tới 100m², mà giá chỉ bằng 1/2 căn tương tự khác cùng trục mà không đối diện TTTM. LH 0989 452 ***. + Chỉ phải bỏ ra 3 - 4 tỷ ban đầu để sở hữu siêu phẩm của dự án đem về dòng tiền thuê tới 500tr/năm. Chỉ có vài căn đẹp. LH 0989 452 ***."
